genome_id,scientific_name,common_name,heart_rate_bpm,body_mass_g,order,family,genus
HLaciJub3,Acinonyx jubatus,Cheetah,126.0,46700.0,Carnivora,Felidae,Acinonyx
HLailMel3,Ailuropoda melanoleuca,Giant panda,90.0,108400.0,Carnivora,Ursidae,Ailuropoda
HLailFul2,Ailurus fulgens,Lesser panda,124.0,4900.0,Carnivora,Ailuridae,Ailurus
HLalcAlc1,Alces alces,Eurasian elk,46.4,356998.0,Cetartiodactyla,Cervidae,Alces
HLaloPal1,Alouatta palliata,Mantled howler monkey,151.0,7275.0,Primates,Atelidae,Alouatta
HLantFla1,Antechinus flavipes,Yellow-footed antechinus,292.0,45.0,Dasyuromorphia,Dasyuridae,Antechinus
HLapoSyl2,Apodemus sylvaticus,European woodmouse,446.1,30.5,Rodentia,Muridae,Apodemus
HLarcGaz2,Arctocephalus gazella,Antarctic fur seal,108.8,97500.0,Carnivora,Otariidae,Arctocephalus
HLarvNil1,Arvicanthis niloticus,African grass rat,464.0,106.9,Rodentia,Muridae,Arvicanthis
HLatePan1,Ateles paniscus,Red-faced black spider monkey,207.0,7900.1,Primates,Atelidae,Ateles
HLbalMus2,Balaenoptera musculus,Blue whale,8.0,190000000.0,Cetartiodactyla,Balaenopteridae,Balaenoptera
HLbisBisBis2,Bison bison bison,American bison,89.0,579255.3,Cetartiodactyla,Bovidae,Bison
HLbosFro1,Bos frontalis,Gayal,50.1,825000.0,Cetartiodactyla,Bovidae,Bos
HLbosGau1,Bos gaurus,Gaur,49.3,825000.0,Cetartiodactyla,Bovidae,Bos
HLbosGru1,Bos grunniens,Domestic yak,53.0,825000.0,Cetartiodactyla,Bovidae,Bos
bosTau9,Bos taurus,Cattle,61.5,900000.0,Cetartiodactyla,Bovidae,Bos
HLbubBub2,Bubalus bubalis,Water buffalo,36.4,725000.0,Cetartiodactyla,Bovidae,Bubalus
calJac4,Callithrix jacchus,White-tufted-ear marmoset,169.3,292.0,Primates,Callitrichidae,Callithrix
HLcamBac1,Camelus bactrianus,Bactrian camel,35.0,800000.0,Cetartiodactyla,Camelidae,Camelus
HLcamDro2,Camelus dromedarius,Arabian camel,49.0,800000.0,Cetartiodactyla,Camelidae,Camelus
HLcanLat1,Canis latrans,Coyote,107.0,13406.3,Carnivora,Canidae,Canis
canFam4,Canis lupus familiaris,Dog,87.0,32183.3,Carnivora,Canidae,Canis
