genome_id,our_name,tree_name,how_matched
HLaciJub3,Acinonyx jubatus,Acinonyx_jubatus,exact
HLailMel3,Ailuropoda melanoleuca,Ailuropoda_melanoleuca,exact
HLailFul2,Ailurus fulgens,Ailurus_fulgens,exact
HLalcAlc1,Alces alces,Alces_alces,exact
HLaloPal1,Alouatta palliata,Alouatta_palliata,exact
HLantFla1,Antechinus flavipes,Antechinus_flavipes,exact
HLapoSyl2,Apodemus sylvaticus,Apodemus_sylvaticus,exact
HLarcGaz2,Arctocephalus gazella,Arctocephalus_gazella,exact
HLarvNil1,Arvicanthis niloticus,Arvicanthis_niloticus,exact
HLatePan1,Ateles paniscus,Ateles_paniscus,exact
HLbalMus2,Balaenoptera musculus,Balaenoptera_musculus,exact
HLbisBisBis2,Bison bison bison,Bison_bison,subspecies matched to its species
HLbosFro1,Bos frontalis,Bos_frontalis,exact
HLbosGau1,Bos gaurus,Bos_gaurus,exact
HLbosGru1,Bos grunniens,Bos_grunniens,exact
bosTau9,Bos taurus,Bos_taurus,exact
HLbubBub2,Bubalus bubalis,Bubalus_arnee,"domestic water buffalo, listed under its wild ancestor"
calJac4,Callithrix jacchus,Callithrix_jacchus,exact
HLcamBac1,Camelus bactrianus,Camelus_bactrianus,exact
HLcamDro2,Camelus dromedarius,Camelus_dromedarius,exact
HLcanLat1,Canis latrans,Canis_latrans,exact
canFam4,Canis lupus familiaris,Canis_lupus,subspecies matched to its species
HLcapHir2,Capra hircus,Capra_hircus,exact
HLcapSib1,Capra sibirica,Capra_sibirica,exact
HLcapCap1,Capreolus capreolus,Capreolus_capreolus,exact
HLcasCan3,Castor canadensis,Castor_canadensis,exact
HLcavPor4,Cavia porcellus,Cavia_porcellus,exact
HLcebAlb2,Cebus albifrons,Cebus_albifrons,exact
HLcerSimCot2,Ceratotherium simum cottoni,Ceratotherium_simum,subspecies matched to its species
HLcerEla2,Cervus elaphus,Cervus_elaphus,exact
HLcheMed2,Cheirogaleus medius,Cheirogaleus_medius,exact
